Key,Description for humans,English,Japanese,Korean,Chinese
hooks_1_text,"Hook, screen 1","The biggest shifts in AI today aren’t technological, <b><green>they’re behavioral</green></b>.",AIによる今日最大の変革はテクノロジーではなく<br><b><green>「行動」にあります</green></b>,오늘날 AI 분야의 가장 큰 변화는 기술이 아니라 사람의 행동 변화에서 나타나고 있습니다.,当今 AI 领域最深刻的变革，并非源自技术本身，而是来自用户行为的改变。
hooks_1_button,"Hook, screen 1 button",scroll,,스크롤,滚动
hooks_2_text,"Hook, screen 2","Consumer behavior is shifting faster than marketing budgets can follow, and this will only continue to accelerate.

New research on AI/LLM disruption<info>Here AI/LLM refers to generative AI chatbots, assistants, and agents, which we’ll refer to as “AI” throughout the report for simplicity’s sake.</info>, done in partnership with BCG, dives deep into these behavioral shifts, the <green><b>current state of play for marketers</b></green>, and where we go from here.","消費者の行動は、マーケティング予算が追い付かない速さで変化しており、今後さらに加速することが予想されます。

BCGの協力を得て実施した、AI/LLMがもたらす<br>ディスラプション（破壊的変化）に関する最新調査では、 <br>こうした行動変容や<green><b>マーケターが置かれている現状</b></green>、<br>今後進むべき方向性について深く掘り下げています。<info>ここで言う「AI/LLM」は、AIチャットボット、AIアシスタント、AIエージェントを指します。本レポートでは簡潔さを優先し、以降は総称して「AI」と表記します。</info>

","소비자 행동은 기존의 마케팅 예산 집행 방식으로는 따라가기 어려울 만큼 빠르게 변화하고 있으며, 앞으로도 더욱 가속화될 것입니다.

몰로코와 BCG가 공동으로 진행한 이번 연구는 AI/LLM이 만들어내는 이러한 행동 변화부터, 마케터가 직면한 현실, 그리고 앞으로 나아가야 할 방향까지 심층적으로 분석합니다.<info>본 보고서에서 AI/LLM은 AI 챗봇, 어시스턴트, 에이전트를 의미하며, 간결성을 위해 전반적으로 “AI”로 통칭합니다.</info>
","消费者行为的演变速度，已远远快于营销预算调整的节奏，而且这一差距仍在持续扩大。

我们与波士顿咨询（BCG）围绕 AI/LLM 带来的颠覆性影响开展了最新研究，深入解析这些行为变化、营销人员当前所处的现实格局，以及未来的演进方向。<info>此处的 AI/LLM 指 AI 聊天机器人、助手和智能体。为便于理解，报告中将统一简称为 “AI”。</info>
"
hooks_title,Title,<green>The <b>AI Disruption Index</b></green>,<green><b>AIディスラプション<br>インデックス</b></green>,<green>The <b>AI Disruption Index</b></green>,AI 颠覆指数报告
hooks_subline,Title sub-line,Report by,Report by,리포트,联合发布
context_intro,Context paragraph 1,"<b>In partnership with BCG, we surveyed 283 marketing leaders across 15 verticals and 5 regions, interviewed 15 executives from leading companies, and analyzed first-party Moloco data from 3,000+ apps representing 200 billion downloads.</b>","<b>MolocoはBCGと共同で、5つの地域、15の業界にわたる283名のマーケティングリーダーを対象に調査を行い、主要企業の幹部15名にインタビューを実施しました。さらに、合計ダウンロード数が2,000億件に上る3,000以上のアプリから取得したファーストパーティデータを分析しました。</b>","<b>몰로코는 BCG와의 공동 연구를 통해 15개 산업군, 5개 지역에 걸친 마케팅 리더 283명을 대상으로 설문조사를 진행하고, 선도 기업 임원 15명을 심층 인터뷰했습니다. 또한, 3,000개 이상의 앱(누적 다운로드 2,000억 건)을 기반으로 한 몰로코의 퍼스트 파티 앱 퍼포먼스 데이터를 분석했습니다</b>
","<b>我们与 BCG 合作，对来自 15 个垂直行业和 5 个地区的 283 位营销领导者进行了调研，并对 15 位来自领先企业的高管进行了深度访谈。同时，我们还分析了来自 3,000+ 个 App、覆盖 2,000 亿次以上下载量的 Moloco 一手 App 效果数据。</b>"
context_buttons_text,Context paragraph 2,"We uncovered new insights on AI disruption, vertical strengths and opportunities, and the new customer journey, starting with inspiration.",その結果、AIによるディスラプション、各業界の強みと機会、「インスピレーション」の段階から、これまでとは異なるカスタマージャーニーに関する新たなインサイトが明らかになりました。,"이를 통해 AI로 인한 시장 변화, 산업별 경쟁력과 기회 요인, 그리고 영감(Inspiration) 단계에서 시작되는 새로운 고객 여정에 대한 인사이트를 도출했습니다.",基于这些研究，我们获得了关于 AI 颠覆、各垂直行业的优势与机遇，以及一条始于“激发灵感”阶段的全新客户旅程的关键洞察。
context_button_method,Context button 2,methodology,調査方法,방법론,方法论
context_button_method_tooltip,Methodology copy,"<b>About the Research</b>
This report leverages insights from multiple research methodologies conducted with Boston Consulting Group from June to October 2025:

<b>Quantitative Survey</b>
283 marketing leaders (VP/C-level) across 15 verticals and 5 regions, representing companies from $50M to $10B+ in annual revenue.

<b>Expert Deep Dive Interviews</b>
15 senior executives (VP/C-level) from leading companies across key verticals.

<b>Performance Analysis</b>
Moloco app performance data from 3000+ apps representing 200B+ downloads, analyzing retention rates, engagement patterns, and acquisition channels (Moloco/Sensor Tower/Semrush).","<b>本調査について</b>
本レポートは、2025年6月から10月にかけてBoston Consulting Groupと共同で実施された、複数の方法による調査を通じて得られたインサイトに基づいています。

<b>定量調査</b>
15の業界および5つの地域にまたがる、年間収益が5,000万米ドルから100億米ドル以上の企業を代表する283名に及ぶマーケティング部門の責任者（執行役員・最高責任者クラス）を対象

<b>専門家に対する深掘りインタビュー</b>
主要業界の大手企業に勤める15名の上級幹部（執行役員・最高責任者クラス）を対象

<b>パフォーマンス分析</b>
ダウンロード数が合わせて2,000億を超える3,000以上のアプリからMolocoを通じて収集したパフォーマンスデータを用い、リテンション率、エンゲージメントパターン、獲得チャネルを分析（Moloco/Sensor Tower/Semrush）

","<b>About the Research</b>
본 리포트는 2025년 6월부터 10월까지 Boston Consulting Group과 함께 수행한 다양한 연구 방법론의 인사이트를 반영합니다.

<b>정량 조사</b>
15개 산업군, 5개 지역의 마케팅 리더 283명(VP/C-level) 대상(연 매출 $50M~$10B+ 기업 포함)

<b>전문가 심층 인터뷰</b>
주요 산업군의 선도 기업 시니어 임원 15명(VP/C-level)

<b>퍼포먼스 분석</b>
3,000개 이상의 앱(누적 다운로드 2,000억 건 이상)에 대한 몰로코 앱 퍼포먼스 데이터 분석(리텐션, 참여 패턴, 유저 확보 채널 (Moloco/Sensor Tower/Semrush)","<b>关于本研究</b>
本报告基于 Moloco 与 Boston Consulting Group 于 2025 年 6 月至 10 月期间开展的多项研究：

<b>定量调研</b>
283 位来自 15 个垂直行业和 5 个地区的营销领导者（VP / C-level），覆盖年收入 5,000 万美元至 100 亿美元以上的企业

<b>专家深度访谈</b>
15 位来自关键行业的资深高管（VP / C-level）

<b>效果分析</b>
基于来自 3,000+ 个 App、覆盖 2,000 亿次以上下载量的 Moloco App 效果数据，对留存率、参与模式和获客渠道进行分析（Moloco / Sensor Tower / Semrush）"
journey_1_title,"Consumer journey, step 1 title",Inspiration,インスピレーション,Inspiration,灵感
journey_1_stat_headline,"Consumer journey, step 1 headline","<green>Inspiration now 
starts <b>with AI</b></green>",<green>インスピレーションは今、<b>AIから</b>始まる </green>      ,영감(Inspiration):  고객 여정의 첫 단계인 ‘영감’은 AI에서 시작됩니다,灵感正从 AI 开始
journey_1_stat_number,"Consumer journey, step 1 stat",1/3,1/3,1/3,1/3
journey_1_stat_text,"Consumer journey, step 1 body text",U.S. adults now discover brands via personal AI agents,現在、米国では成人の3分の1がパーソナルAIエージェントを通じてブランドを発見,미국 성인 3명 중 1명은 이미 퍼스널 AI 에이전트를 통해 브랜드를 처음 발견합니다.,的美国成年人如今通过个人 AI 智能体发现品牌
journey_1_stat_source,"Consumer journey, step 1 source","Source: Cordial, “Brands Battle for Attention as AI Redefines the Funnel” conducted by Dynata, Aug 2025. 1,000 US Adults surveyed by Dynata","出典：""Brands Battle for Attention as AI Redefines the Funnel"". Cordial. Dynataが2025年8月に米国の成人1,000人を対象に実施
","출처: Cordial, “Brands Battle for Attention as AI Redefines the Funnel”, Dynata, 2025년 8월, 미국 성인 1,000명 대상 조사","来源：Cordial，由 Dynata 执行的《品牌争夺注意力：AI 重塑营销漏斗》报告，2025 年 8 月。Dynata 调研的 1,000 名美国成年人。"
journey_2_title,"Consumer journey, step 2 title",Discovery,発見,Discovery ,发现
journey_2_stat_headline,"Consumer journey, step 2 headline","<green>Discovery has
 been <b>upended</b></green>",<green>発見プロセスが<b>一変</b></green>                ,발견:(Discover): 발견단계는 재편되고 있습니다,发现阶段已被彻底改写
